3b-swf-20110110-git	3b-swf-swc, 3b-swf
metatilities-base-20101006-darcs	metatilities-base-test, metatilities-base
mgl-20110110-git	mgl-visuals, mgl-test, mgl-example, mgl
micmac-0.0.2	micmac-test, micmac
midi-20070618	midi
mime4cl-20101006-http	mime4cl
misc-extensions-20101006-cvs	misc-extensions
mixalot-20101006-git	vorbisfile-ffi, mpg123-ffi, mixalot-vorbis, mixalot-mp3, mixalot
monkeylib-binary-data-20110110-git	com.gigamonkeys.binary-data
monkeylib-foo-20101207-git	com.gigamonkeys.foo
monkeylib-macro-utilities-20101207-git	com.gigamonkeys.macro-utilities
monkeylib-markup-20101207-git	com.gigamonkeys.markup
monkeylib-markup-html-20101207-git	monkeylib-markup-html
monkeylib-pathnames-20101207-git	com.gigamonkeys.pathnames
monkeylib-prose-diff-20101207-git	com.gigamonkeys.prose-diff
monkeylib-test-framework-20101207-git	com.gigamonkeys.test-framework
monkeylib-utilities-20101207-git	com.gigamonkeys.utilities
montezuma-20110110-svn	montezuma-tests, montezuma-indexfiles, montezuma, lucene-in-action-tests
moptilities-20110110-http	moptilities-test, moptilities
mt19937-1.1	mt19937
mtlisp-20110110-git	mtlisp
mw-equiv-0.1.3	mw-equiv
named-readtables-20101006-darcs	named-readtables-test, named-readtables
net-telent-date_0.42	net-telent-date
net4cl-20101006-http	net4cl
npg-20101006-http	npg
nst-3.0.1	nst, defdoc, asdf-nst
nuclblog-20101107-git	nuclblog
oct-20101006-cvs	oct
odd-streams-0.1.1	odd-streams-test, odd-streams
ods4cl-20101006-http	ods4cl
okra-20101006-git	okra-common
osc-20101006-darcs	osc
osicat-20101006-git	osicat-tests, osicat
parenscript-2.2	parenscript.test, parenscript
parse-declarations-20101006-darcs	parse-declarations-1.0
parse-js-20110110-git	parse-js
parse-number-1.0	parse-number
patron-20101006-git	patron
pcall-0.3	pcall-tests, pcall-queue, pcall
pg-20101006-cvs	pg
phemlock-20110110-cvs	spell, hemlock
pileup-20101207-git	pileup-tests, pileup
pipes-20101006-git	pipes
pithy-xml-20101006-git	pithy-xml
plain-odbc-20110110-svn	plain-odbc-with-libs, plain-odbc
plexippus-xpath-20101006-darcs	xpath
plokami-20110110-git	plokami
png-read-20101107-git	png-read
portable-threads-20101006-http	portable-threads
portableaserve-20101006-cvs	webactions, htmlgen, aserve, acl-compat
postmodern-20110110-git	simple-date-tests, simple-date-postgres-glue, simple-date, s-sql, postmodern, cl-postgres-tests, cl-postgres
postoffice-20101006-git	postoffice
prepl-20101207-git	prepl
protobuf-20110110-git	protobuf
proton-20101207-git	proton
psgraph-1.2	psgraph
ptester-20101006-git	ptester
pubmed-20101006-git	pubmed
puri-20101006-git	puri-tests, puri
py-configparser-20101006-svn	py-configparser
py-configvalidator-20101006-git	py-configvalidator
quicklisp-slime-helper-20101107-git	quicklisp-slime-helper
quickproject-20101107-git	quickproject
rcl-20101006-http	rcl
regex-1	regex
relational-objects-for-lisp-20110110-darcs	rofl.test, rofl
restas-20110110-git	restas-doc, restas
restas-directory-publisher-20110110-git	restas-directory-publisher
retrospectiff-20101006-git	retrospectiff
reversi-20101006-git	reversi
rfc2109-0.4.1	rfc2109
rfc2388-20101006-http	rfc2388
rfc2388-binary-20101107-darcs	rfc2388-binary
rfc3339-timestamp-0.2.4	rfc3339-timestamp
rlc-20101006-git	rlc
rpc4cl-0.3.1	rpc4cl-test, rpc4cl
rt-20101006-git	rt
rucksack-20101006-cvs	rucksack-test, rucksack
rutils-20101006-git	rutils
s-base64-20101006-http	s-base64
s-dot-1.2	s-dot
s-http-client-20101006-http	s-http-client
s-protobuf-20101006-git	s-protobuf
s-sysdeps-20101006-http	s-sysdeps
s-utils-20101006-http	s-utils
s-xml-20101006-http	s-xml
s-xml-rpc-20101006-http	s-xml-rpc
salza2-2.0.7	salza2
sb-cga-20101107-git	sb-cga
sb-vector-io-20101207-git	sb-vector-io
sclf-20101006-http	sclf
screamer-20101207-git	screamer-tests, screamer
scribble-20101107-git	scribble-test, scribble
sequence-iterators-20101207-darcs	sequence-iterators-test, sequence-iterators, extensible-sequences-test, extensible-sequences
series-20101006-cvs	series-tests, series
sheeple-20101006-git	sheeple-tests, sheeple
shuffletron-20101107-git	shuffletron
simple-date-time-20110110-git	simple-date-time
simple-finalizer-20101006-git	simple-finalizer
simpsamp-0.1	simpsamp
skippy-1.3.7	skippy
slime-20110110-cvs	swank
smtp4cl-20101006-http	smtp4cl
snmp-5.19	snmp-test, snmp-server, snmp-base, snmp
soundex-1.0	soundex
spartns-1.4.3	spartns-test, spartns
spatial-trees-20101006-darcs	spatial-trees
split-sequence-20101006-http	split-sequence
sqnc-20110110-git	csound
st-json-20101207-git	st-json
static-vectors-20101006-git	static-vectors
stefil-20101107-darcs	stefil-test, stefil
string-case-20101006-http	string-case
sw-db-20101006-git	sw-db
sw-http-20101006-git	sw-http
sw-mvc-20101207-git	sw-mvc
sw-stm-20101006-git	sw-stm
symbolicweb-20101207-git	symbolicweb-jquery, symbolicweb-examples, symbolicweb
tbnl-0.11.4	tbnl
testbild-20101207-git	testbild-test, testbild
tilde-20101006-git	tilde
tinaa-20101006-darcs	tinaa-test
tpapp-utils-20101107-git	tpapp-utils
trees_0.11	trees
trivial-backtrace-20101006-git	trivial-backtrace-test, trivial-backtrace
trivial-features-20101006-darcs	trivial-features-tests, trivial-features
trivial-garbage-20101006-darcs	trivial-garbage-tests, trivial-garbage
trivial-gray-streams-20101006-cvs	trivial-gray-streams
trivial-http-20101006-http	trivial-http-test, trivial-http
trivial-ldap-0.92	trivial-ldap
trivial-shell-20101006-http	trivial-shell-test, trivial-shell
trivial-timeout-20101006-darcs	trivial-timeout-test, trivial-timeout
trivial-timers-20101006-http	trivial-timers
trivial-utf-8-20101006-darcs	trivial-utf-8-tests, trivial-utf-8
ucw-20110110-darcs	ucw.mod-lisp, ucw.manual-examples, ucw.iolib, ucw.httpd, ucw.examples, ucw-core.test, ucw-core, ucw
uffi-20101107-git	uffi
umlisp-20101006-git	umlisp-tests, umlisp
umlisp-orf-20101006-git	umlisp-orf
unit-test-20101006-svn	unit-test
unix-options-20110110-git	unix-options
until-it-dies-20101006-git	until-it-dies.sound, until-it-dies.graphics, until-it-dies.examples, until-it-dies.base, until-it-dies
url-rewrite-0.1.1	url-rewrite
usocket-20110110-svn	usocket-test, usocket
usocket-udp-2.6	usocket-udp
utils-kt-20101006-git	utils-kt
uuid-20101006-http	uuid
vcs-tree-20101006-git	vcs-tree
vecto-1.4.3	vecto
verrazano-20110110-darcs	verrazano-runtime, verrazano
weblocks-20110110-hg	weblocks-yui, weblocks-yarek, weblocks-store-test, weblocks-scripts, weblocks-s11, weblocks-prevalence, weblocks-postmodern, weblocks-memory, weblocks-elephant-demo, weblocks-elephant, weblocks-demo-popover, weblocks-demo, weblocks, simple-blog
wiki-parser-20101006-git	wiki-parser-test, wiki-parser
wuwei-20110110-git	wuwei-examples, wuwei
x.fdatatypes-20101006-git	x.fdatatypes
x.let-star-20101006-git	x.let-star
xarray-20101006-git	xarray
xhtmlgen-20110110-git	xhtmlgen-test, xhtmlgen
xlunit-20101006-git	xlunit-tests, xlunit
xmls-1.4	xmls
xptest-20101006-git	xptest
xuriella-20101006-git	xuriella
yaclml-20101006-darcs	yaclml.test, yaclml
yason-20101107-git	yason
zcdb-1.0.1	zcdb
zip-20101107-cvs	zip
zlib-20101006-cvs	zlib
zpb-exif-1.2.1	zpb-exif
zpb-ttf-1.0	zpb-ttf
zpng-1.2	zpng
zs3-1.1.4	zs3
