3b-swf-20110110-git	3b-swf-swc, 3b-swf
cxml-rng-2008-11-30	cxml-rng
cxml-rpc-20101006-git	cxml-rpc
cxml-stp-20101107-git	cxml-stp-test, cxml-stp
date-calc-20101006-http	date-calc
dbus-20101107-git	dbus
declt-1.0b1	com.dvlsoft.declt
deflate-20101207-git	deflate
defsystem-compatibility-20101006-darcs	defsystem-compatibility-test, defsystem-compatibility
documentation-template-0.4.2	documentation-template
drakma-1.2.3	drakma
dso-lex-0.3.2	dso-lex
dso-util-0.1.2	dso-util
dynamic-classes-20101006-darcs	dynamic-classes-test, dynamic-classes
eager-future-20101006-darcs	eager-future.test, eager-future
elephant-20110110-darcs	elephant-tests, elephant, ele-postmodern, ele-postgresql, ele-clsql, ele-clp, dcm
eos-20101006-git	eos-tests, eos
esrap-20101006-git	esrap
evol-20101006-git	evol-test, evol
external-program_0.0.6	external-program
f-underscore-20101006-darcs	f-underscore
f2cl-20110110-cvs	f2cl
fare-csv-20101006-git	fare-csv
fare-matcher-20101107-git	fare-matcher
fare-utils-20101207-git	molicle, fare-utils
fcgi-0.7	fcgi
femlisp-0-9-10	infix, femlisp-matlisp, femlisp-basic, femlisp
ffa-20101006-git	ffa
fft-20101006-git	pfft, fft
fiveam-20101006-darcs	fiveam
flexi-streams-1.0.7	flexi-streams-test, flexi-streams
flexichain_1.5.1	flexichain-doc, flexichain
folio-20101207-git	folio.functions, folio.collections, folio.boxes, folio.as, folio
fsbv-20101207-git	fsbv
fset-20101006-svn	fset
fucc_0.2.1	fucc-parser, fucc-generator
garbage-pools-0.1.2	garbage-pools-test, garbage-pools
gbbopen-20110110-svn	tutorial-example, timing-tests, test-harness, portable-threads-test, portable-sockets-test, os-interface-test, multinode, module-manager-user, module-manager, gbbopen-tools-test, gbbopen-test, gbbopen-modules, gbbopen, double-metaphone-test, cl-timing, agenda-shell-test, abort-ks-execution-example
genhash_1.7	genhash
getopt-20101006-git	getopt-tests, getopt
glaw-20110110-git	glaw-sdl, glaw-imago, glaw-examples, glaw
glop-20110110-git	glop-test, glop
graylex-20101006-git	graylex-test, graylex-m4-example, graylex
gsd-20101207-git	grid-tests, grid, foreign-array-tests, foreign-array
gsharp-20101006-git	gsharp
gsll-20101207-git	gsll-tests, gsll
gtfl_0.1.2	gtfl
gzip-stream_0.2.8	gzip-stream
hemlock-20110110-git	hemlock.tty, hemlock.qt, hemlock.clx, hemlock.base
ht-simple-ajax_0.3	ht-simple-ajax
